subject	R2	RMSE	mean	RMSE/mean	TP	TN	FP	FN
S7	0.8002	0.0046	0.0119	0.3861	0.8566	0.9793	0.0207	0.1434
S8	0.8047	0.0049	0.0170	0.2866	0.8600	0.9799	0.0201	0.1400
S10	0.7488	0.0033	0.0120	0.2770	0.7448	0.9890	0.0110	0.2552
S11	0.8890	0.0029	0.0113	0.2569	0.9537	0.9783	0.0217	0.0463
S12	0.9472	0.0027	0.0232	0.1182	0.9440	0.9405	0.0595	0.0560
S16	0.8102	0.0038	0.0135	0.2796	0.8719	0.9647	0.0353	0.1281
S21	0.8867	0.0043	0.0209	0.2044	0.8989	0.9887	0.0113	0.1011
S22	0.8864	0.0036	0.0171	0.2078	0.8527	0.9883	0.0117	0.1473
S23	0.7246	0.0045	0.0156	0.2923	0.8758	0.9257	0.0743	0.1242
S26	0.7588	0.0050	0.0169	0.2956	0.8509	0.9825	0.0175	0.1491
S28	0.6153	0.0074	0.0188	0.3940	0.6302	0.9803	0.0197	0.3698
S29	0.8882	0.0041	0.0205	0.1990	0.8216	0.9964	0.0036	0.1784
S30	0.7919	0.0049	0.0177	0.2763	0.7666	0.9896	0.0104	0.2334
S31	0.8080	0.0035	0.0135	0.2577	0.8464	0.9796	0.0204	0.1536
S32	0.7810	0.0062	0.0227	0.2734	0.8506	0.9633	0.0367	0.1494
S33	0.7851	0.0029	0.0096	0.3056	0.8403	0.9765	0.0235	0.1597
S35	0.8130	0.0052	0.0223	0.2335	0.8330	0.9586	0.0414	0.1670
S37	0.8399	0.0043	0.0189	0.2248	0.8599	0.9782	0.0218	0.1401
S38	0.7951	0.0059	0.0175	0.3363	0.8420	0.9945	0.0055	0.1580
S39	0.7309	0.0059	0.0229	0.2557	0.8496	0.9539	0.0461	0.1504
S40	0.7688	0.0060	0.0239	0.2509	0.8892	0.9466	0.0534	0.1108
S41	0.7236	0.0041	0.0172	0.2389	0.8496	0.9545	0.0455	0.1504
